Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
10386,4/13/2021 9:00,"Referral,no review",Aurora,80016,Exterior Residential Painting - Exterior Preparation,5125,4295,1230,5525,Exterior,approved,1,,
10387,,"Commercial,interior",Centennial,80111,Drywall Finishing,0,0,0,0,,pro approved,,,
10412,4/13/2021 15:30,,Denver,80238,Fence,1690,1300,390,1690,My Website,Awaiting Approval,1,,
10389,4/13/2021 12:30,Referral,Denver,80218,Exterior Residential Painting - Exterior Preparation,5955,4380,1875,6255,,pro approved,1,,
10391,4/13/2021 13:30,,Highlands Ranch,80130,Baseboard Installation and Painting,2090,1820,270,2090,My Website,Awaiting Approval,2,,
10392-2,4/8/2021 8:00,no review,AURORA,80016,Trim Replacement/Repair,780,780,0,780,,pro approved,4,,
10395-2,4/8/2021 17:00,,Denver,80238,Power Wash and Stain Fence,890,890,0,890,,approved,1,,
10420-1,4/12/2021 14:30,,Littleton,80122,Railing Repair/Rebuild,3990,3320,1020,4340,My Website,pro approved,2,,
10395-3,4/8/2021 17:00,,Denver,80238,Option 1: Skim Existing Ceiling,1660,1660,0,1660,,pro approved,1,,
10400,4/12/2021 15:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4755,3505,1450,4955,My Website,Awaiting Approval,1,,
10396,4/13/2021 10:30,Referral,Aurora,80014,Interior Painting-2 Coats,2290,2065,525,2590,,approved,1,,
10398-2,4/9/2021 10:30,no review,Timnath,80547,Main Area Ceiling - 2 Coats ,2560,2085,705,2790,,approved,1,,
10296-2,3/10/2021 14:00,"Referral,no review,repeat customer",Parker,80138,Kitchen Cabinet Preparation,8939,8124,1165,9289,,SCHEDULED,4,,
10399,4/16/2021 11:30,,Littleton,80129,Popcorn Scrape and Paint - Half of Master Suite ceiling,1245,1020,225,1245,My Website,Awaiting Approval,2,,
10401,4/13/2021 9:30,google,Aurora,80012,Interior Painting-2 Coats,4250,3195,1055,4250,,Awaiting Approval,1,,
10402,5/6/2021 12:00,,Parker,80134,Exterior Trim Prep and Paint,3892.5,3097.5,945,4042.5,,Awaiting Approval,1,,
10403,,google,Aurora,80010,,0,0,0,0,Exterior,UNSCHEDULED,,,
10404-1,4/15/2021 15:00,"Referral,no review",Parker,80138,Exterior Residential Painting - Exterior Preparation,9380,7015,2365,9380,,approved,1,,
10405,4/12/2021 15:30,,Littleton,80126,Shutter Painting and Install,985,985,0,985,,Awaiting Approval,3,,
10406,,"Commercial,interior",Centennial,80111,Interior Painting-2 Coats,36025,36025,0,36025,,Awaiting Approval,,,
10373-2,4/12/2021 9:00,"google,no review",Elizabeth,80107,Back Deck,990,780,210,990,,pro approved,1,,
10413,4/15/2021 9:00,repeat customer,Broomfield,80023,Exterior Soffit,1560,1205,355,1560,My Website,approved,1,,
10421,4/16/2021 13:30,,Littleton,80128,Exterior Residential Painting - Exterior Preparation,4945,3885,1060,4945,My Website,Awaiting Approval,2,,
10424,4/16/2021 12:30,,Highlands Ranch,80130,NOTES,5495,4705,790,5495,My Website,Awaiting Approval,2,,
10390-2,4/12/2021 15:30,,AURORA,80015,Fence,1190,880,310,1190,,Awaiting Approval,1,,
10408,,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4775,3505,1270,4775,,Awaiting Approval,,,
10409,4/21/2021 10:00,"google,Commercial",Littleton,80120,Exterior Residential Painting - Exterior Preparation,4940,4365,575,4940,,approved,2,,
10410,4/19/2021 12:00,google,Aurora,80014,Painting quotes - Free Exterior Consultation,0,0,0,0,,SCHEDULED,1,,
10462,4/22/2021 13:30,,HIGHLANDS RANCH,80126,Patches and Repairs,8395,7150,1245,8395,My Website,Awaiting Approval,2,,
10423,4/16/2021 10:30,,Broomfield,80020,Exterior Residential Painting - Exterior Preparation,5255,3855,1750,5605,My Website,pro approved,1,,
10411-2,4/14/2021 17:00,no review,Denver,80238,Fence,870,710,160,870,,approved,1,,
10416,4/19/2021 14:30,,Denver,80230,Exterior Residential Painting - Exterior Preparation,3991,3065,1276,4341,My Website,pro approved,1,,
10415,4/19/2021 9:30,no review,Erie,80516,Exterior Residential Painting - Exterior Preparation,3985,3065,1270,4335,My Website,approved,1,,
10417,4/21/2021 13:30,,Denver,80238,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,My Website,SCHEDULED,1,,
10414,,,Denver,80238,Front Deck Railing,1280,1280,0,1280,,approved,,,
10418,,no review,,,,0,0,0,0,,UNSCHEDULED,,,
10419,,no review,Castle Rock,80108,Main Level - Walls 2 Coats,12960,10980,1980,12960,,pro approved,,,
10404-2,4/15/2021 15:00,"Referral,no review",Parker,80138,Trim and Doors-2 Coats,1880,1640,240,1880,,pro approved,1,,
10420-2,4/12/2021 14:30,,Littleton,80122,Interior Painting - 2 Coats - Walls only,1485,1180,305,1485,,pro approved,2,,
10422,4/21/2021 9:00,no review,Highlands Ranch,80130,Exterior Residential Painting - Exterior Preparation,4980,3920,1060,4980,My Website,approved,2,,
10425,,Returning Customer,Denver,80222,,0,0,0,0,,UNSCHEDULED,,,
10426,4/22/2021 11:00,,Englewood,80111,Acoustic Ceiling Scrape-Upstairs,5895,5045,1100,6145,repeat customer,approved,1,,
10427,4/22/2021 14:00,BBB Website,Denver,80203,Exterior Residential Painting - Exterior Preparation,6305,5260,1345,6605,,Awaiting Approval,1,,
10428,4/21/2021 9:30,,Denver,80237,Exterior Residential Painting - Exterior Preparation,4447.5,3722.5,1025,4747.5,My Website,Awaiting Approval,1,,
10429,4/22/2021 9:00,"Referral,no review",Parker,80134,Exterior Residential Painting - Exterior Preparation,4985,3835,1450,5285,,approved,1,,
10440,4/23/2021 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4762.5,3722.5,1390,5112.5,My Website,approved,1,,
10430,,no review,Denver,80224,Interior Painting-2 Coats,7955,6765,1190,7955,,pro approved,,,
10431,,NEIGHBOURS,Aurora,80016,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,interior,UNSCHEDULED,,,
10395-4,4/8/2021 17:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5337.5,3767.5,1870,5637.5,,declined,1,,
10395-5,4/8/2021 17:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5637.5,3767.5,2170,5937.5,,declined,1,,
10404-3,4/15/2021 15:00,"Referral,no review",Parker,80138,Exterior Residential Painting - Exterior Preparation,9730,7015,2715,9730,,SCHEDULED,1,,
10458,4/30/2021 10:30,no review,Littleton,80129,Interior Painting - Basement Main Room and Stairwell - 2 Coats,2560,2160,400,2560,My Website,approved,2,,
10446-1,4/26/2021 9:30,,Denver,80202,Interior Painting-2 Coats,24470,15030,9990,25020,My Website,Awaiting Approval,1,,
10432,4/26/2021 11:00,no review,Centennial,80122,Main Level Restroom,1605,955,650,1605,,approved,1,,
10433,4/26/2021 12:00,Exterior,Aurora,80014,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
10434,,,HIGHLANDS RANCH,80126,Custom Services - Custom Job,0,0,0,0,,UNSCHEDULED,,,
10435,4/26/2021 15:30,"google,no review",Parker,80138,Window Casings,2515,2000,515,2515,,approved,1,,
10436,4/27/2021 9:00,"Facebook,no review",Denver,80238,Exterior Residential Painting - Exterior Preparation,3997.5,2847.5,1450,4297.5,Exterior,approved,1,,
10437-1,5/3/2021 15:00,"existing customer,no review",Centennial,80016,Exterior Residential Painting - Exterior Preparation,4655,3505,1450,4955,Exterior,approved,1,,
10438,4/27/2021 9:00,,Littleton,80127,Exterior Residential Painting - Exterior Preparation,4840,3780,1060,4840,"Residential,Exterior",pro approved,2,,
10439,4/26/2021 8:00,,Denver,80238,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,My Website,SCHEDULED,1,,
10441-1,4/26/2021 13:00,,Aurora,80017,Interior Painting-2 Coats,2785,2355,430,2785,,approved,1,,
10452,4/28/2021 12:00,,Broomfield,80020,Exterior Residential Painting - Exterior Preparation,5562.5,3942.5,1870,5812.5,My Website,approved,1,,
10442,5/6/2021 9:00,,Centennial,80015,Trim Painting-Front of House,665,460,205,665,,approved,1,,
10443,4/30/2021 7:45,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,4930,3870,1060,4930,Exterior,approved,2,,
10447,4/28/2021 15:00,,Centennial,80016,Interior Painting-2 Coats,1010,795,265,1060,My Website,Awaiting Approval,1,,
10441-2,4/26/2021 13:00,,Aurora,80017,Floor Installation,2920,2920,0,2920,,SCHEDULED,1,,
10441-3,4/26/2021 13:00,,Aurora,80017,Cabinets - Cabinet Preparation,2730,2300,430,2730,,declined,1,,
10451-1,4/29/2021 8:00,,Denver,80224,Interior Painting-2 Coats,620,380,240,620,My Website,Awaiting Approval,1,,
10444,4/29/2021 13:00,"google,Exterior",Centennial,80015,Exterior Residential Painting - Exterior Preparation,3924,2979,1245,4224,,Awaiting Approval,1,,
10441-4,4/26/2021 13:00,,Aurora,80017,,0,0,0,0,,SCHEDULED,1,,
10445-1,4/29/2021 10:00,google,Aurora,80014,Interior Painting-2 Coats,430,320,110,430,,approved,1,,
10453,4/29/2021 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5807.5,4402.5,1655,6057.5,My Website,approved,1,,
10459,4/30/2021 14:30,interior,Centennial,80016,Exterior Residential Painting - Exterior Preparation,5352.5,4202.5,1450,5652.5,My Website,approved,1,,
10446-2,4/26/2021 9:30,,Denver,80202,Fireplace,8180,7300,880,8180,,Awaiting Approval,1,,
10448,5/4/2021 10:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4925,3995,1230,5225,,approved,1,,
10449-1,5/4/2021 9:00,"Referral,interior,Exterior,parker,no review",Parker,80134,Exterior Residential Painting - Exterior Preparation,5445,4245,1450,5695,,pro approved,1,,
10450,5/4/2021 12:00,no review,Greenwood Village,80121,Exterior Residential Painting - Exterior Preparation,8997.5,7447.5,2050,9497.5,,pro approved,1,,
10451-2,4/29/2021 8:00,,Denver,80224,Cabinets - Cabinet Preparation,825,590,235,825,,Awaiting Approval,1,,
10445-2,4/29/2021 10:00,google,Aurora,80014,Removal and Installation of Stair Railing,3480,3480,0,3480,,Awaiting Approval,1,,
10454-1,5/4/2021 8:00,,Littleton,80123,Exterior Residential Painting - Exterior Preparation,3985,2925,1060,3985,,Awaiting Approval,2,,
10455,5/6/2021 14:00,repeat customer,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4217.5,3067.5,1450,4517.5,"Exterior,estimate",declined,1,,
10456,5/6/2021 9:30,google,Denver,80238,Pergola and steps,1385,930,455,1385,"Exterior,pergola",Awaiting Approval,1,,
10457-1,5/14/2021 13:30,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,4880,3820,1060,4880,My Website,Awaiting Approval,2,,
10460,5/5/2021 10:00,Referral,Evergreen,80439,Drywall Repairs,2215,2100,115,2215,,Awaiting Approval,2,,
10461,5/5/2021 15:00,"Residential,Referral",Littleton,80120,Exterior Residential Painting - Exterior Preparation,4925,3865,1060,4925,,Awaiting Approval,2,,
10469,5/5/2021 15:30,,Centennial,80122,Interior Painting-2 Coats,3245,2565,880,3445,My Website,approved,1,,
10463,5/5/2021 14:00,"google,no review",Denver,80220,Exterior Residential Painting - Exterior Preparation,5522.5,4127.5,1595,5722.5,,approved,1,,
10309-4,3/9/2021 14:30,"noreview,no review",Aurora,80015,Front Door Casing & Pantry Door ,390,300,90,390,,approved,4,,
10464-1,5/6/2021 15:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Painting - 2 Coats,4111.25,3066.25,1245,4311.25,,approved,1,,
10465-1,5/5/2021 12:00,,Louisville,80027,Exterior Residential Painting - Exterior Preparation,5142.5,3942.5,1450,5392.5,,Awaiting Approval,1,,
10476-1,5/11/2021 13:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5480,4380,1450,5830,My Website,pro approved,1,,
10471,5/6/2021 8:00,no review,Denver,80207,Exterior Residential Painting - Exterior Preparation,7782.5,5995,2137.5,8132.5,My Website,approved,1,,
10454-2,5/4/2021 8:00,,Littleton,80123,Wood Replacement and Prep,1240,1050,190,1240,,Awaiting Approval,2,,
10449-2,5/4/2021 9:00,"Referral,interior,Exterior,parker,no review",Parker,80134,Interior Painting-2 Coats,3190,2460,880,3340,,Awaiting Approval,1,,
10475-1,5/10/2021 10:30,,Aurora,80015,Interior Painting-2 Coats,5720,4490,1230,5720,My Website,declined,4,,
10466-1,5/11/2021 11:00,Referral,Littleton,80123,Cabinets - Cabinet Preparation,4460,3970,490,4460,,Awaiting Approval,2,,
10467,5/10/2021 12:00,,Watkins,80137,Exterior Residential Painting - Exterior Preparation,5956.25,4601.25,1655,6256.25,,Awaiting Approval,1,,
10468,5/10/2021 13:00,Referral,Littleton,80126,Exterior Residential Painting - Exterior Preparation,4845,3730,1115,4845,,Awaiting Approval,2,,
10437-2,5/3/2021 15:00,"existing customer,no review",Centennial,80016,Gutters,590,590,0,590,,approved,1,,
10473,5/10/2021 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5352.5,4202.5,1450,5652.5,My Website,approved,1,,
10470,5/17/2021 9:00,,Golden,80403,Interior Painting - Walls and Baseboards - 2 Coats,3990,3245,745,3990,,Awaiting Approval,2,,
10465-2,5/5/2021 12:00,,Louisville,80027,Gutters,920,920,0,920,,Awaiting Approval,1,,
10472,5/10/2021 8:00,,Littleton ,80124,"Commercial, Epoxy Coatings, Color Consultations - Garage Floor Epoxy Coatings",0,0,0,0,My Website,SCHEDULED,2,,
10464-2,5/6/2021 15:00,Referral,Aurora,80016,Pergola,920,920,0,920,,pro approved,1,,
10477,5/12/2021 11:30,,Broomfield,80023,Exterior Residential Painting - Exterior Preparation,5480,4380,1450,5830,My Website,approved,1,,
10478-1,6/3/2021 8:30,,Aurora,80016,Interior Wall Painting-2 Coats,9175,7175,2300,9475,My Website,approved,1,2,
10474,5/17/2021 16:00,no review,Denver,80222,Drywall Repairs,7620,6790,1180,7970,interior,approved,1,,
10475-2,5/10/2021 10:30,,Aurora,80015,Restructuring Steps and Replacing Spindles,3480,3480,0,3480,,declined,4,,
10479,5/17/2021 13:00,,Aurora,80014,Exterior Residential Painting - Exterior Preparation,3942.5,2897.5,1245,4142.5,"Exterior,Customer is looking for estimate for exterior repaint. - CM",pro approved,1,,
10497-1,5/18/2021 17:00,,Centennial,80015,Interior Painting-2 Coats,2471,2091,530,2621,My Website,Awaiting Approval,1,,
10480,5/13/2021 12:00,"google,no review",Aurora,80014,Exterior Residential Painting - Exterior Preparation,6582.5,5012.5,1870,6882.5,,approved,1,,
10466-2,5/11/2021 11:00,Referral,Littleton,80123,NOTES,1620,1290,330,1620,,Awaiting Approval,2,,
10481,5/13/2021 14:00,,Aurora,80013,Exterior Residential Painting - Exterior Painting - 2 Coats,680,460,220,680,,declined,1,,
10482,5/17/2021 11:00,Referral,Littleton,80129,Repair Drywall and Paint where 5 can lights were removed,620,620,0,620,,approved,2,,
10476-2,5/11/2021 13:30,,Aurora,80016,Back Deck,490,490,0,490,,Awaiting Approval,1,,
10476-3,5/11/2021 13:30,,Aurora,80016,Gutters,690,690,0,690,,Awaiting Approval,1,,
10476-4,5/11/2021 13:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5900,4380,1870,6250,,Awaiting Approval,1,,
10483-1,5/18/2021 12:30,"debby miller,no review",Denver,80211,Interior Painting-2 Coats,5975,4920,1055,5975,,declined,1,,
10484-1,5/24/2021 16:00,"Referral,referral: Adam Colpur,no review",Aurora,80012,Exterior Residential Painting - Exterior Painting - 2 Coats,4250,3505,1095,4600,"interior,Exterior,no review",pro approved,1,,
10504,5/18/2021 14:30,,DENVER,80238,Exterior Residential Painting - Exterior Preparation,4137.5,3942.5,395,4337.5,My Website,approved,1,,
10486,5/19/2021 12:00,"neighbor getting work done,no review",Denver,80238,Exterior Residential Painting - Exterior Preparation,8992.5,7112.5,1880,8992.5,,approved,1,,
10487,5/19/2021 14:00,,Denver,80238,Fence,1410,1410,0,1410,,Awaiting Approval,1,,
10488,5/31/2021 13:00,Nextdoor,Centennial,80015,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
10457-2,5/14/2021 13:30,,Highlands Ranch,80126,Re-stain back deck and railings,930,720,210,930,,Awaiting Approval,2,,
10489,5/18/2021 11:00,existing customer,Denver,80238,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
10513,5/18/2021 17:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,6851.25,5606.25,1445,7051.25,My Website,Awaiting Approval,1,,
10521-1,5/20/2021 13:00,no review,DENVER,80238,Exterior Residential Painting - Exterior Preparation,5450,4380,1270,5650,My Website,approved,1,,
10506,5/19/2021 12:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5487.5,4380,1357.5,5737.5,My Website,pro approved,1,,
10498,5/18/2021 12:30,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,4155,2910,1245,4155,My Website,approved,1,,
10490-1,5/20/2021 10:00,"google,no review",Denver,80238,Window Trim Replacement,4090,4590,0,4590,,pro approved,1,,
10478-2,6/3/2021 8:30,,Aurora,80016,Interior Wall Painting-2 Coats,4765,4022.5,1042.5,5065,,Awaiting Approval,1,2,
10478-3,6/3/2021 8:30,,Aurora,80016,Main Level Trim,1940,1940,0,1940,,Awaiting Approval,1,2,
10478-4,6/3/2021 8:30,,Aurora,80016,Kitchen Cabinets - Cabinet Preparation,4235,3680,555,4235,,Awaiting Approval,1,2,
10491-1,5/19/2021 16:00,google,Broomfield,80020,Exterior Residential Painting - Exterior Preparation,7170,5260,1910,7170,"Exterior,Broomfield",pro approved,1,,
10492,5/26/2021 12:00,Referral,Englewood,80113,Exterior Residential Painting - Exterior Preparation,7540,5695,2145,7840,Exterior,Awaiting Approval,1,,
10493,,no review,Westminster,80021,Interior Painting-2 Coats,10470,9650,1320,10970,no review,approved,,,
10495,5/20/2021 12:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4525,3505,1270,4775,My Website,pro approved,1,,
10494,5/20/2021 15:00,Nextdoor,Parker,80134,Exterior Residential Painting - Exterior Preparation,5450,4380,1270,5650,"Exterior,estimate",declined,1,,
10496,,"no review,noreview",Aurora,80016,Malta Way Interior Painting,6980,5920,1060,6980,,declined,,,
10514,5/20/2021 17:00,no review,Denver,80238,Exterior Residential Painting - Exterior Preparation,4356.25,3286.25,1270,4556.25,My Website,approved,1,,
10524-1,5/24/2021 10:30,no review,Parker,80134,Exterior Residential Painting - Exterior Preparation,4962.5,3942.5,1270,5212.5,My Website,approved,1,,
10499,5/25/2021 10:00,Nextdoor,Centennial,80015,Garage Door and Trim,467.5,380,87.5,467.5,Exterior,Awaiting Approval,1,,
10500,5/21/2021 17:00,,Littleton,80126,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,"Exterior,estimate",SCHEDULED,2,,
10501-1,6/1/2021 13:00,Yelp,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5710,4740,1270,6010,,approved,1,,
10502-1,5/25/2021 12:00,neighbor getting work done,Denver,80238,Exterior Residential Painting - Exterior Preparation,5357.5,4162.5,1445,5607.5,,approved,1,,
10503-1,5/25/2021 13:00,Referral,Aurora,80016,Deck,1645,1260,385,1645,"railings,estimate",approved,1,,
10483-2,5/18/2021 12:30,"debby miller,no review",Denver,80211,Interior Painting-2 Coats,6955,6150,1055,7205,,approved,1,,
10505,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,9005,7225,1780,9005,,pro approved,,,
10507-1,5/31/2021 16:30,Referral,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3960,3065,1095,4160,,Awaiting Approval,1,,
10508-1,5/25/2021 9:00,renter,Parker,80138,Trim Replacement,2490,1880,610,2490,,Awaiting Approval,1,,
10512-1,5/24/2021 14:30,,Denver,80221,Exterior Residential Painting - Exterior Preparation,2380,1635,745,2380,My Website,approved,1,,
10509,5/25/2021 11:00,google,Aurora,80015,Drywall Installation,3740,3740,0,3740,,Awaiting Approval,1,,
10511,5/22/2021 13:00,Facebook,Denver,80238,Exterior Residential Painting - Exterior Preparation,3940,2670,1270,3940,,Awaiting Approval,4,,
10497-2,5/18/2021 17:00,,Centennial,80015,Railing,580,580,0,580,,Awaiting Approval,1,,
10491-2,5/19/2021 16:00,google,Broomfield,80020,Gutters,710,710,0,710,,pro approved,1,,
10490-2,5/20/2021 10:00,"google,no review",Denver,80238,Exterior Residential Painting - Exterior Preparation,5150,4380,1270,5650,,approved,1,,
10317-3,3/9/2021 17:00,no review,Denver,80238,Pergola,810,810,0,810,,approved,1,,
10515,5/31/2021 15:00,Neighbourhood Facebook Group,Parker,80134,Drip Edge,810,810,0,810,,declined,1,,
10516,5/25/2021 11:00,Referral,Littleton,80126,Exterior Residential Painting - Exterior Preparation,4424.7,3455,1060,4515,,Awaiting Approval,2,,
10517-1,5/25/2021 12:00,"google,no review",Littleton,80126,Exterior Residential Painting - Exterior Preparation,5290,4230,1060,5290,,approved,2,,
10520-1,5/24/2021 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5350,4380,1270,5650,My Website,Awaiting Approval,1,,
10534,5/24/2021 15:30,,Littleton,80126,"Popcorn Scrape, Re-texture, Paint",9420,8420,1000,9420,My Website,Awaiting Approval,2,,
10542,5/28/2021 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4780,3505,1650,5155,My Website,approved,1,,
10518,,,Denver,80209,Exterior Residential Painting - Exterior Preparation,8980,6570,2610,9180,,approved,,,
10519,,Stapleton,Denver,80239,"Painting quotes - Free Cabinet Painting Estimate: (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,UNSCHEDULED,,,
10541,5/28/2021 8:45,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5350,4380,1270,5650,My Website,Awaiting Approval,1,,
10521-2,5/20/2021 13:00,no review,DENVER,80238,Modern Farmhouse Wood,1890,1890,0,1890,,approved,1,,
10521-3,5/20/2021 13:00,no review,DENVER,80238,Front Railing,7620,4740,2880,7620,,declined,1,,
10522,5/19/2021 14:00,,Littleton,80130,Drywall Repairs,3485,2935,550,3485,,Awaiting Approval,2,,
10491-3,5/19/2021 16:00,google,Broomfield,80020,South Side Wood Steps,740,740,0,740,,approved,1,,
10523,5/27/2021 16:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4873.75,3723.75,1450,5173.75,Exterior,Awaiting Approval,1,,
10539,5/26/2021 17:00,,Aurora,80018,Exterior Residential Painting - Exterior Preparation,3919.75,2935.5,1184.25,4119.75,My Website,approved,1,,
10520-2,5/24/2021 9:30,,Denver,80238,Trim and Siding Replacement,1920,1310,610,1920,,Awaiting Approval,1,,
10512-2,5/24/2021 14:30,,Denver,80221,Cabinets - Cabinet Preparation,1525,920,805,1725,,approved,1,,
10520-3,5/24/2021 9:30,,Denver,80238,New Fencing,980,980,0,980,,Awaiting Approval,1,,
10524-2,5/24/2021 10:30,no review,Parker,80134,North Side Window Trim,590,590,0,590,,approved,1,,
10524-3,5/24/2021 10:30,no review,Parker,80134,Deck Railings,690,690,0,690,,approved,1,,
10525,,flyer,Aurora,80016,,0,0,0,0,,UNSCHEDULED,,,
10526-1,,no review,Highlands Ranch,80129,Interior Painting-2 Coats,8135,7435,700,8135,no review,approved,3,,
10526-3,,no review,Highlands Ranch,80129,Baseboard Removal,6635,5545,1090,6635,no review,pro approved,3,,
10527,5/27/2021 9:00,google,Aurora,80012,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,IN PROGRESS,1,,
10528,5/28/2021 11:00,flyer,Aurora,80016,Interior Painting-2 Coats,7375,6325,1050,7375,,declined,1,,
10529-1,5/28/2021 14:00,Referral,Lone Tree,80124,Exterior Residential Painting - Exterior Preparation,4298.75,3503.75,1095,4598.75,,approved,1,,
10530,5/28/2021 8:00,"Referral,Debbie Miller",Northglenn,80233,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,1,,
10543,5/28/2021 15:00,,Centennial,80122,Exterior Residential Painting - Exterior Preparation,5237.5,3942.5,1595,5537.5,My Website,approved,1,,
10531,5/31/2021 8:00,Referral,Littleton,80127,Interior Painting - Master Bedroom Walls - 2 Coats,850,690,160,850,,approved,2,,
10532-1,6/7/2021 15:00,google,Littleton,80126,Interior Painting - Walls - 2 Coats,5210,4320,890,5210,,approved,2,,
10533,6/2/2021 10:00,neighbor getting work done,Aurora,80016,Garage Floor,4250,3990,510,4500,,Awaiting Approval,1,,
10526-5,,no review,Highlands Ranch,80129,Flooring Removal and Install,4600,4600,0,4600,no review,pro approved,3,,
10502-2,5/25/2021 12:00,neighbor getting work done,Denver,80238,Trim Replacement,830,620,210,830,,pro approved,1,,
10502-3,5/25/2021 12:00,neighbor getting work done,Denver,80238,Fencing,910,910,0,910,,pro approved,1,,
10517-2,5/25/2021 12:00,"google,no review",Littleton,80126,Wood Repair/Replacement,2475,2190,285,2475,,pro approved,2,,
10535,,Referral,Thornton,80233,Exterior Trim,8450,7870,1080,8950,,Awaiting Approval,,,
10556,6/2/2021 17:00,no review,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,5380,4320,1060,5380,My Website,approved,2,,
10536,6/1/2021 9:00,"Highlands ranch,no review",Highlands Ranch,80126,Wood Replacement,540,390,150,540,,approved,2,,
10537,6/2/2021 14:00,"neighbors,no review",Timnath,80547,Exterior Residential Painting - Exterior Preparation,4492.5,3547.5,1270,4817.5,,approved,1,,
10538,6/2/2021 12:00,neighbor getting work done,Denver,80238,Interior Painting-2 Coats,1405,1230,175,1405,,pro approved,1,,
10484-2,5/24/2021 16:00,"Referral,referral: Adam Colpur,no review",Aurora,80012,Interior Painting-2 Coats,6645,5765,1230,6995,no review,pro approved,1,,
10503-2,5/25/2021 13:00,Referral,Aurora,80016,Master Suite,1735,1385,350,1735,,pro approved,1,,
10540,,,Denver,80204,,0,0,0,0,,UNSCHEDULED,,,
10544,6/1/2021 10:00,google,Denver,80210,Drywall Repair and Paint,630,630,0,630,,Awaiting Approval,1,,
10545,6/18/2021 10:00,"debby miller,no review",Thornton,80229,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,3,,
10529-2,5/28/2021 14:00,Referral,Lone Tree,80124,Fence,910,910,0,910,,pro approved,1,,
10551-1,6/1/2021 12:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5775,4830,1270,6100,My Website,declined,1,,
10546,6/2/2021 15:00,"Referral,Doing neighbours painting,no review",Timnath,80547,Exterior Residential Painting - Exterior Preparation,3970,3175,1095,4270,,approved,1,,
10547,6/3/2021 12:00,"Referral,Boelker",Timnath,80547,Exterior Residential Painting - Exterior Preparation,3992.5,3285,1007.5,4292.5,,approved,1,,
10548,6/3/2021 9:00,"saw truck,no review",Parker,80138,Interior Painting-2 Coats,8237.5,7687.5,1050,8737.5,,approved,1,,
10549,6/7/2021 10:30,,Lakewood,80227,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,My Website,SCHEDULED,3,,
10507-2,5/31/2021 16:30,Referral,Aurora,80015,Pergola,955,780,175,955,,Awaiting Approval,1,,
